City_ID,City,Country,Max Temp,Current Description,Humidity,Cloudiness,Rain (inches),Snow (inches),Wind Speed,Lat,Lng
0,Albany,US,91.0,light rain,42,78,0.29,0,4.83,42.6,-73.97
1,Dingle,PH,77.63,scattered clouds,78,35,0.0,0,4.59,11.0,122.67
2,Puerto Escondido,MX,87.8,broken clouds,66,75,0.0,0,6.93,15.85,-97.07
3,Samarai,PG,79.02,light rain,86,19,0.19,0,12.64,-10.62,150.67
4,Southbridge,US,88.0,light rain,46,28,0.18,0,5.99,42.08,-72.03
5,Havre-Saint-Pierre,CA,60.8,clear sky,63,1,0.0,0,9.17,50.23,-63.6
6,Ulkan,RU,55.2,clear sky,80,2,0.0,0,2.06,57.24,107.32
7,Tasiilaq,GL,44.6,light rain,70,100,0.14,0,31.09,65.61,-37.64
8,Barrow,US,33.8,overcast clouds,80,90,0.0,0,4.7,71.29,-156.79
9,Dikson,RU,35.92,overcast clouds,84,99,0.0,0,22.75,73.51,80.55
10,Hobart,AU,46.4,shower rain,93,75,0.0,0,5.82,-42.88,147.33
11,Geraldton,AU,46.4,clear sky,93,0,0.0,0,3.36,-28.77,114.6
12,Kuah,MY,80.6,few clouds,83,20,0.0,0,2.24,6.33,99.84
13,East London,ZA,69.35,clear sky,30,0,0.0,0,8.86,-33.02,27.91
14,Kashi,CN,71.6,scattered clouds,7,47,0.0,0,8.95,39.45,75.98
15,Zhigansk,RU,70.3,clear sky,43,0,0.0,0,3.94,66.77,123.37
16,Busselton,AU,39.99,clear sky,70,0,0.0,0,6.13,-33.65,115.33
17,Tuatapere,NZ,39.0,scattered clouds,83,50,0.0,0,3.0,-46.13,167.68
18,Tateyama,JP,72.0,broken clouds,96,79,0.0,0,4.54,34.98,139.87
19,Launceston,AU,45.0,broken clouds,100,75,0.0,0,6.93,-41.45,147.17
20,Punta Arenas,CL,39.2,broken clouds,80,75,0.0,0,5.82,-53.15,-70.92
21,Victoria,HK,84.0,broken clouds,74,60,0.0,0,8.99,22.29,114.16
22,Arraial Do Cabo,BR,78.8,clear sky,83,0,0.0,0,6.93,-22.97,-42.03
23,Benjamin Hill,MX,102.0,clear sky,27,0,0.0,0,7.0,30.17,-111.1
24,Mataura,NZ,39.0,scattered clouds,83,38,0.0,0,3.0,-46.19,168.86
25,Rawson,AR,56.35,broken clouds,49,66,0.0,0,31.85,-43.3,-65.1
26,Ancud,CL,46.99,few clouds,87,20,0.0,0,3.36,-41.87,-73.82
27,Xapuri,BR,86.58,overcast clouds,58,93,0.0,0,3.49,-10.65,-68.5
28,Rikitea,PF,76.14,moderate rain,81,67,1.13,0,15.52,-23.12,-134.97
29,Airai,TL,54.63,clear sky,100,6,0.0,0,3.6,-8.93,125.41
30,Kenai,US,57.0,overcast clouds,66,90,0.0,0,5.82,60.55,-151.26
31,Lavrentiya,RU,53.19,scattered clouds,46,49,0.0,0,15.52,65.58,-171.0
32,Kapaa,US,78.8,light rain,83,90,0.25,0,10.29,22.08,-159.32
33,Castilho,BR,75.2,clear sky,49,1,0.0,0,5.1,-20.87,-51.49
34,Nikolskoye,RU,60.8,clear sky,63,0,0.0,0,6.71,59.7,30.79
35,Avarua,CK,73.4,overcast clouds,73,100,0.0,0,8.05,-21.21,-159.78
36,Mar Del Plata,AR,53.01,overcast clouds,76,100,0.0,0,5.82,-38.0,-57.56
37,Jamestown,US,80.01,few clouds,57,20,0.0,0,6.93,42.1,-79.24
38,Coihueco,CL,51.8,moderate rain,100,90,0.0,0,16.11,-36.62,-71.83
39,Cape Town,ZA,60.01,moderate rain,93,20,3.3,0,6.93,-33.93,18.42
