City_ID,City,Country,Max Temp,Current Description,Rain (inches),Snow (inches),Lat,Lng,Hotel Name
1,Dingle,PH,77.63,scattered clouds,0.0,0,11.0,122.67,Camp Pasica
2,Puerto Escondido,MX,87.8,broken clouds,0.0,0,15.85,-97.07,Aldea del Bazar Hotel and Spa
5,Havre-Saint-Pierre,CA,60.8,clear sky,0.0,0,50.23,-63.6,Auberge Niapiskau
12,Kuah,MY,80.6,few clouds,0.0,0,6.33,99.84,Azio Hotel
13,East London,ZA,69.35,clear sky,0.0,0,-33.02,27.91,Tu Casa
14,Kashi,CN,71.6,scattered clouds,0.0,0,39.45,75.98,帕米尔青年旅舍
15,Zhigansk,RU,70.3,clear sky,0.0,0,66.77,123.37,Gostinichnyy Kompleks Aylgy
18,Tateyama,JP,72.0,broken clouds,0.0,0,34.98,139.87,Tateyama Seaside Hotel
21,Victoria,HK,84.0,broken clouds,0.0,0,22.29,114.16,Mini Hotel Central
22,Arraial Do Cabo,BR,78.8,clear sky,0.0,0,-22.97,-42.03,Pousada Porto Praia
23,Benjamin Hill,MX,102.0,clear sky,0.0,0,30.17,-111.1,Luis Guillermo García Medina
27,Xapuri,BR,86.58,overcast clouds,0.0,0,-10.65,-68.5,Restaurante Viana
33,Castilho,BR,75.2,clear sky,0.0,0,-20.87,-51.49,Rancho Loquetti
34,Nikolskoye,RU,60.8,clear sky,0.0,0,59.7,30.79,Tourist House - Sablino
35,Avarua,CK,73.4,overcast clouds,0.0,0,-21.21,-159.78,Paradise Inn
37,Jamestown,US,80.01,few clouds,0.0,0,42.1,-79.24,Hampton Inn & Suites Jamestown
40,Santa Rosa,PH,80.6,few clouds,0.0,0,14.31,121.11,Amethyst Econotel
42,Odweyne,SO,76.03,scattered clouds,0.0,0,9.41,45.06,Eng Hiirey House
43,Castro,BR,61.29,clear sky,0.0,0,-24.79,-50.01,CHACARA BAILLY
44,Richards Bay,ZA,62.64,clear sky,0.0,0,-28.78,32.04,BON Hotel Waterfront Richards Bay
45,Elliot Lake,CA,78.8,clear sky,0.0,0,46.38,-82.63,Frontier Lodge
49,Fortuna,US,66.2,few clouds,0.0,0,40.6,-124.16,Super 8 by Wyndham Fortuna
50,Zyryanka,RU,81.0,scattered clouds,0.0,0,65.75,150.85,Zyryanka
51,Dimbokro,CI,74.93,broken clouds,0.0,0,6.65,-4.7,complexe hôtelier le jardin d'Eden
54,Iranshahr,IR,95.0,clear sky,0.0,0,27.2,60.68,کافی نت دانشگاه
