City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Punta Arenas,CL,2020-06-20 04:00:00,-53.15,-70.92,33.8,83,54,10.29
1,Kembaran,ID,2020-06-20 04:12:32,-7.38,110.0,89.6,52,20,9.17
2,Atuona,PF,2020-06-20 04:02:47,-9.8,-139.03,80.29,74,88,14.61
3,Severo-Kurilsk,RU,2020-06-20 04:02:49,50.68,156.12,42.37,90,100,18.25
4,Port Elizabeth,ZA,2020-06-20 04:01:41,-33.92,25.57,66.2,29,21,6.93
5,Hoquiam,US,2020-06-20 04:12:33,46.98,-123.89,64.0,82,75,9.17
6,Clacton-On-Sea,GB,2020-06-20 04:12:33,51.79,1.16,55.99,85,98,10.25
7,East London,ZA,2020-06-20 04:03:14,-33.02,27.91,66.97,31,1,10.89
8,Sur,OM,2020-06-20 04:04:11,22.57,59.53,92.16,51,33,9.1
9,Ushuaia,AR,2020-06-20 04:02:43,-54.8,-68.3,37.4,86,75,5.82
10,Vaini,TO,2020-06-20 04:02:49,-21.2,-175.2,75.2,73,75,8.05
11,Bethel,US,2020-06-20 04:02:51,41.37,-73.41,68.0,82,1,3.85
12,Olafsvik,IS,2020-06-20 04:03:32,64.89,-23.71,47.88,83,100,14.79
13,Butaritari,KI,2020-06-20 04:02:52,3.07,172.79,80.37,83,100,17.63
14,Andenes,NO,2020-06-20 04:04:10,69.31,16.12,48.2,87,2,16.11
15,Nikolskoye,RU,2020-06-20 04:02:47,59.7,30.79,60.8,77,40,11.18
16,Wanaka,NZ,2020-06-20 04:12:35,-44.7,169.15,39.99,81,25,0.96
17,Bluff,NZ,2020-06-20 04:02:44,-46.6,168.33,46.94,73,87,10.13
18,Ambalavao,MG,2020-06-20 04:12:36,-21.83,46.93,55.27,88,88,5.95
19,Lorengau,PG,2020-06-20 04:03:06,-2.02,147.27,83.62,76,94,4.52
20,Jamestown,US,2020-06-20 04:02:56,42.1,-79.24,64.0,100,1,4.7
21,Upernavik,GL,2020-06-20 04:03:49,72.79,-56.15,39.63,71,17,5.79
22,Mareeba,AU,2020-06-20 04:12:37,-17.0,145.43,80.01,71,25,5.01
23,Rikitea,PF,2020-06-20 04:02:49,-23.12,-134.97,75.29,82,100,19.51
24,Faanui,PF,2020-06-20 04:02:57,-16.48,-151.75,80.38,73,9,2.57
25,Saint-Augustin,CA,2020-06-20 04:12:38,51.23,-58.65,44.62,92,100,8.1
26,Carutapera,BR,2020-06-20 04:12:38,-1.2,-46.02,74.07,93,29,4.79
27,Jeremie,HT,2020-06-20 04:12:39,18.65,-74.12,80.55,76,3,2.95
28,Cidreira,BR,2020-06-20 04:03:15,-30.18,-50.21,65.91,94,94,4.65
29,Balkanabat,TM,2020-06-20 04:12:39,39.51,54.37,93.34,10,13,31.41
30,New Norfolk,AU,2020-06-20 04:02:57,-42.78,147.06,55.0,83,92,1.86
31,Kavkazskiy,RU,2020-06-20 04:12:40,44.27,42.23,69.8,73,100,11.18
32,Mataura,NZ,2020-06-20 04:02:56,-46.19,168.86,45.57,84,78,1.83
33,Kulhudhuffushi,MV,2020-06-20 04:12:40,6.62,73.07,83.57,80,41,11.36
34,Hobart,AU,2020-06-20 04:12:40,-42.88,147.33,55.4,87,40,5.82
35,Mildura,AU,2020-06-20 04:10:20,-34.2,142.15,62.01,51,40,9.17
36,Souillac,MU,2020-06-20 04:02:55,-20.52,57.52,71.6,73,75,14.99
37,Hermanus,ZA,2020-06-20 04:03:00,-34.42,19.23,59.0,95,42,1.01
38,Guerrero Negro,MX,2020-06-20 04:02:55,27.98,-114.06,63.57,82,0,16.69
39,Sturgis,US,2020-06-20 04:11:03,41.8,-85.42,73.4,68,40,4.21
40,Sao Filipe,CV,2020-06-20 04:03:13,14.9,-24.5,75.49,81,0,11.79
41,Nome,US,2020-06-20 04:12:43,64.5,-165.41,72.0,59,40,10.29
42,Busselton,AU,2020-06-20 04:02:51,-33.65,115.33,60.01,47,0,10.47
43,Hailar,CN,2020-06-20 04:03:51,49.2,119.7,66.06,79,97,8.59
44,Ambon,ID,2020-06-20 04:12:43,-3.7,128.18,82.0,12,89,18.34
45,Ribeira Grande,PT,2020-06-20 04:03:11,38.52,-28.7,64.85,87,58,17.9
46,Seymchan,RU,2020-06-20 04:12:44,62.88,152.43,79.57,33,49,12.37
47,Fairview,US,2020-06-20 04:12:44,40.81,-74.0,75.2,73,75,4.7
48,Kapaa,US,2020-06-20 04:02:55,22.08,-159.32,80.6,69,40,18.34
49,Cayenne,GF,2020-06-20 04:03:20,4.93,-52.33,77.0,100,75,7.14
50,Alta Gracia,AR,2020-06-20 04:09:16,-31.65,-64.43,53.01,53,5,8.05
51,Tiksi,RU,2020-06-20 04:03:25,71.69,128.87,68.25,33,0,4.92
52,Hovd,MN,2020-06-20 04:12:45,48.01,91.64,68.47,29,76,6.02
53,Caravelas,BR,2020-06-20 04:03:27,-17.71,-39.25,71.62,88,9,5.73
54,Narsaq,GL,2020-06-20 04:03:53,60.92,-46.05,41.0,75,93,6.93
55,Chake Chake,TZ,2020-06-20 04:12:46,-5.25,39.77,76.08,83,21,13.31
56,Tual,ID,2020-06-20 04:12:46,-5.67,132.75,80.49,79,69,20.4
57,Lermontovka,RU,2020-06-20 04:12:46,47.15,134.34,70.54,50,29,4.34
58,Coihaique,CL,2020-06-20 04:04:09,-45.58,-72.07,37.4,86,20,4.7
59,Clyde River,CA,2020-06-20 04:03:02,70.47,-68.59,30.2,100,1,14.99
60,Henties Bay,NA,2020-06-20 04:12:47,-22.12,14.28,66.99,43,0,18.43
61,Nivala,FI,2020-06-20 04:12:47,63.92,24.97,57.0,81,0,3.0
62,Salalah,OM,2020-06-20 04:03:04,17.02,54.09,82.4,78,75,3.36
63,Sorland,NO,2020-06-20 04:03:35,67.67,12.69,52.5,68,4,17.38
64,Evensk,RU,2020-06-20 04:12:10,61.95,159.23,60.78,68,68,7.47
65,Avarua,CK,2020-06-20 04:03:13,-21.21,-159.78,73.4,60,67,8.05
66,Kirkenes,NO,2020-06-20 04:12:48,69.73,30.05,44.6,68,64,13.87
67,Provideniya,RU,2020-06-20 04:03:25,64.38,-173.3,58.32,43,26,5.37
68,Teya,RU,2020-06-20 04:12:49,60.38,92.63,56.23,80,100,1.43
69,Qaanaaq,GL,2020-06-20 04:02:51,77.48,-69.36,34.07,84,100,2.82
70,Cambridge,CA,2020-06-20 04:12:49,43.36,-80.31,68.0,100,1,5.37
71,Jonuta,MX,2020-06-20 04:12:50,18.08,-92.13,77.16,91,100,6.35
72,Zaozerne,UA,2020-06-20 04:12:50,45.16,33.28,70.7,72,90,5.61
73,Fortuna,US,2020-06-20 04:03:53,40.6,-124.16,55.99,100,90,6.93
74,Okhotsk,RU,2020-06-20 04:12:50,59.38,143.3,50.77,82,78,11.5
75,Seoul,KR,2020-06-20 04:10:58,37.57,126.98,84.2,51,40,6.93
76,Hamina,FI,2020-06-20 04:12:51,60.57,27.2,60.8,77,0,12.75
77,Ponta Do Sol,PT,2020-06-20 04:03:00,32.67,-17.1,68.0,72,75,6.93
78,Zhezkazgan,KZ,2020-06-20 04:12:51,47.8,67.71,60.8,31,0,8.95
79,Mahebourg,MU,2020-06-20 04:03:01,-20.41,57.7,71.6,73,75,14.99
80,Port Alfred,ZA,2020-06-20 04:12:52,-33.59,26.89,68.0,35,19,14.0
81,Piranhas,BR,2020-06-20 04:12:52,-16.43,-51.82,67.86,65,80,4.09
82,Cascais,PT,2020-06-20 04:12:52,38.7,-9.42,63.0,91,0,14.5
83,Vryburg,ZA,2020-06-20 04:12:53,-26.96,24.73,38.79,75,0,4.05
84,Tabas,IR,2020-06-20 04:12:53,33.6,56.92,91.4,10,32,4.7
85,Mancora,PE,2020-06-20 04:12:53,-4.11,-81.05,71.92,69,0,11.63
86,Barsovo,RU,2020-06-20 04:12:53,61.17,73.17,53.6,54,40,6.71
87,Padang,ID,2020-06-20 04:03:17,-0.95,100.35,86.27,61,72,5.41
88,Yulara,AU,2020-06-20 04:12:54,-25.24,130.99,64.4,27,0,8.05
89,Norman Wells,CA,2020-06-20 04:03:46,65.28,-126.83,78.8,41,75,4.7
90,Saskylakh,RU,2020-06-20 04:12:08,71.92,114.08,82.44,26,60,8.79
91,Oppdal,NO,2020-06-20 04:12:55,62.59,9.69,64.69,58,37,8.14
92,Basco,PH,2020-06-20 04:04:19,20.45,121.97,84.85,80,63,14.54
93,Nanortalik,GL,2020-06-20 04:03:57,60.14,-45.24,38.43,92,100,14.97
94,Port Hardy,CA,2020-06-20 04:01:34,50.7,-127.42,62.6,88,90,4.7
95,Mahibadhoo,MV,2020-06-20 04:03:43,3.78,72.97,83.98,77,63,9.8
96,Amot,NO,2020-06-20 04:12:55,59.57,7.99,61.0,86,97,2.59
97,Kavieng,PG,2020-06-20 04:03:17,-2.57,150.8,85.68,68,26,7.34
98,Meulaboh,ID,2020-06-20 04:12:56,4.14,96.13,86.67,59,90,2.04
99,Saint-Francois,FR,2020-06-20 04:12:56,46.42,3.91,50.0,87,92,1.83
100,Tasiilaq,GL,2020-06-20 04:12:57,65.61,-37.64,37.2,82,100,3.56
101,Tuktoyaktuk,CA,2020-06-20 04:12:57,69.45,-133.04,42.8,87,90,10.29
102,Labytnangi,RU,2020-06-20 04:12:57,66.66,66.42,47.77,78,100,6.89
103,Plettenberg Bay,ZA,2020-06-20 04:03:58,-34.05,23.37,63.82,49,74,9.46
104,Vila Franca Do Campo,PT,2020-06-20 04:03:31,37.72,-25.43,64.4,82,75,13.87
105,Taltal,CL,2020-06-20 04:03:51,-25.4,-70.48,56.34,74,7,3.2
106,Starokostyantyniv,UA,2020-06-20 04:12:58,49.76,27.2,63.68,89,100,3.4
107,Mandali,IQ,2020-06-20 04:12:59,33.75,45.55,91.53,12,0,6.78
108,Albany,US,2020-06-20 04:12:59,42.6,-73.97,75.0,89,70,2.44
109,Moose Factory,CA,2020-06-20 04:12:59,51.26,-80.61,60.8,100,75,2.3
110,Manaira,BR,2020-06-20 04:12:59,-7.71,-38.15,64.8,100,55,6.89
111,Kloulklubed,PW,2020-06-20 04:13:00,7.04,134.26,86.0,74,75,9.17
112,Castro,BR,2020-06-20 04:13:00,-24.79,-50.01,57.2,94,11,5.17
113,Atar,MR,2020-06-20 04:04:12,20.52,-13.05,91.94,22,43,11.99
114,Mar Del Plata,AR,2020-06-20 04:02:19,-38.0,-57.56,55.0,66,1,6.93
115,Khatanga,RU,2020-06-20 04:13:01,71.97,102.5,62.69,49,100,9.01
116,Hithadhoo,MV,2020-06-20 04:13:01,-0.6,73.08,82.2,79,100,14.94
117,Bredasdorp,ZA,2020-06-20 04:13:02,-34.53,20.04,57.2,87,29,5.08
118,Bundaberg,AU,2020-06-20 04:13:02,-24.85,152.35,75.0,64,75,12.75
119,Augusto Correa,BR,2020-06-20 04:13:02,-1.02,-46.63,72.59,97,27,2.89
120,Airai,TL,2020-06-20 04:13:02,-8.93,125.41,70.59,73,98,5.57
121,Ancud,CL,2020-06-20 04:13:03,-41.87,-73.82,48.0,93,90,11.41
122,Bengkulu,ID,2020-06-20 04:09:40,-3.8,102.27,84.09,63,24,3.96
123,Cabimas,VE,2020-06-20 04:13:03,10.39,-71.44,81.66,79,100,3.4
124,Sakakah,SA,2020-06-20 04:13:03,29.97,40.21,69.8,49,0,13.87
125,Saldanha,ZA,2020-06-20 04:13:04,-33.01,17.94,55.4,87,94,3.36
126,Saint-Philippe,RE,2020-06-20 04:13:04,-21.36,55.77,69.8,64,66,10.29
127,Baturaja,ID,2020-06-20 04:13:04,-4.13,104.17,86.76,60,59,4.79
128,Pangody,RU,2020-06-20 04:13:04,65.85,74.49,49.89,49,0,4.14
129,Vung Tau,VN,2020-06-20 04:13:05,10.35,107.08,85.44,70,100,4.18
130,Palauig,PH,2020-06-20 04:13:05,15.44,119.9,85.37,70,41,5.86
131,Turukhansk,RU,2020-06-20 04:03:56,65.82,87.98,56.77,80,100,17.81
132,Douglas,US,2020-06-20 04:13:05,41.3,-96.17,70.0,72,90,5.39
133,Collie,AU,2020-06-20 04:13:05,-33.37,116.15,60.01,47,0,7.43
134,Guerrero,MX,2020-06-20 04:13:06,17.67,-100.0,70.86,79,97,6.15
135,Egvekinot,RU,2020-06-20 04:03:40,66.32,-179.17,61.75,34,2,3.91
136,Piacabucu,BR,2020-06-20 04:13:06,-10.41,-36.43,76.19,85,40,9.8
137,Kiunga,PG,2020-06-20 04:13:06,-6.12,141.29,85.51,71,95,3.65
138,Morelia,MX,2020-06-20 04:13:07,19.7,-101.18,66.2,77,75,2.35
139,Namibe,AO,2020-06-20 04:03:16,-15.2,12.15,70.0,54,0,5.01
140,Onega,RU,2020-06-20 04:13:07,63.91,38.14,48.43,62,10,9.4
141,Matagami,CA,2020-06-20 04:04:12,49.75,-77.63,68.0,94,90,2.24
142,Kalmar,SE,2020-06-20 04:13:08,56.66,16.36,60.01,93,54,4.7
143,Xichang,CN,2020-06-20 04:13:08,27.9,102.26,75.74,69,99,1.1
144,Sao Francisco Do Sul,BR,2020-06-20 04:13:08,-26.24,-48.64,66.99,83,15,3.15
145,Newport,GB,2020-06-20 04:11:33,51.59,-3.0,57.0,97,92,7.34
146,Kaitangata,NZ,2020-06-20 04:03:20,-46.28,169.85,46.0,83,69,3.0
147,Palu,ID,2020-06-20 04:13:09,-0.89,119.87,85.98,69,82,3.49
148,Lardos,GR,2020-06-20 04:13:09,36.09,28.02,75.99,83,20,9.17
149,Mount Gambier,AU,2020-06-20 04:03:18,-37.83,140.77,50.0,87,90,11.41
150,Tiznit,MA,2020-06-20 04:13:09,29.58,-9.5,63.7,70,0,1.1
